id,name,weight,category,students
ACG397,Accounting,3,Theory,0
ACG267,BAS Bus Organizational Leaders,3,Theory,0
AFA604,Social Science,3,Theory,0
AMH250,History,3,Theory,0
AML777,English,3,Theory,0
ANT342,Anthropology,3,Theory,0
AOM412,Horticulture Technology,3,Theory,0
APA198,Accounting,3,Theory,0
ARA674,Arabic,3,Theory,0
ARC775,Architecture,3,Theory,0
ARE644,Education,1,Lab,0
ARH461,Art,3,Theory,0
ART651,Art,3,Theory,0
ASL746,Sign Language,3,Theory,0
AST167,Astronomy,3,Theory,0
BCN588,Construction & Civil Eng Tech,3,Theory,0
BCT401,Construction & Civil Eng Tech,3,Theory,0
BOT618,Biology,3,Theory,0
BOT641,Horticulture Technology,3,Theory,0
BSC439,Biology,3,Theory,0
BUL926,Business Admin & Management,1,Lab,0
CCJ559,Criminal Justice Technology,3,Theory,0
CEN906,BAS Computing Tech Software Dv,3,Theory,0
CET530,Electrical&Comp Eng Tech,3,Theory,0
CET140,Electronics Engin Technology,3,Theory,0
CET359,Network Engineering Technology,3,Theory,0
CGS262,"CIT, Cmp Prg & Anly, & DB Tech",3,Theory,0
CHM282,Chemistry,3,Theory,0
CIS913,"CIT, Cmp Prg & Anly, & DB Tech",3,Theory,0
CJC744,Criminal Justice Technology,1,Lab,0
CJE756,Criminal Justice Technology,3,Theory,0
CJJ682,Criminal Justice Technology,3,Theory,0
CJL213,Criminal Justice Technology,3,Theory,0
CLP743,Psychology,3,Theory,0
CNT646,Network Engineering Technology,3,Theory,0
COM443,English,3,Theory,0
COP774,BAS Computing Tech Software Dv,3,Theory,0
COP129,"CIT, Cmp Prg & Anly, & DB Tech",3,Theory,0
COP598,Electrical&Comp Eng Tech,3,Theory,0
COT566,"CIT, Cmp Prg & Anly, & DB Tech",3,Theory,0
CRW111,English,3,Theory,0
CTS870,"CIT, Cmp Prg & Anly, & DB Tech",3,Theory,0
CTS393,Network Engineering Technology,3,Theory,0
CVT619,Cardiovascular Technology,3,Theory,0
DAA382,Dance,3,Theory,0
DEH634,Dental Hygiene,3,Theory,0
DEP658,Psychology,3,Theory,0
DES224,Dental Hygiene,1,Lab,0
DIG285,Digital Media Technology,1,Lab,0
DSC225,Criminal Justice Technology,3,Theory,0
EAP985,English for Academic Purposes,3,Theory,0
ECO410,Economics,3,Theory,0
EDF448,Education,3,Theory,0
EDG119,Education,3,Theory,0
EDP784,Psychology,3,Theory,0
EEC811,Education,3,Theory,0
EET927,Electrical&Comp Eng Tech,3,Theory,0
EET518,Electronics Engin Technology,1,Lab,0
EET165,Engineering Technology,3,Theory,0
EEX912,Education,1,Lab,0
EGN464,Electrical&Comp Eng Tech,3,Theory,0
EGN864,Engineering,3,Theory,0
EGS276,Engineering,3,Theory,0
EME263,Education,3,Theory,0
EMS341,Emergency Medical Services,3,Theory,0
ENC293,English,3,Theory,0
ENG212,English,3,Theory,0
ENL529,English,3,Theory,0
ENY865,Horticulture Technology,1,Lab,0
EPI214,Education,3,Theory,0
ESC671,Geology,1,Lab,0
ETC264,Construction & Civil Eng Tech,3,Theory,0
ETD677,Drafting and Design Technology,3,Theory,0
ETI160,BAS Computing Tech Software Dv,3,Theory,0
ETI524,Electrical&Comp Eng Tech,3,Theory,0
ETI112,Engineering Technology,1,Lab,0
ETM431,Energy Mgmt and Controls Tech,3,Theory,0
ETM211,Engineering Technology,1,Lab,0
ETP473,Electrical&Comp Eng Tech,3,Theory,0
ETS133,Electrical&Comp Eng Tech,3,Theory,0
ETS203,Electronics Engin Technology,3,Theory,0
EUH592,History,3,Theory,0
EVR157,Biology,1,Lab,0
EVS578,Environmental Science Tech,3,Theory,0
FAS967,Horticulture Technology,3,Theory,0
FFP168,Fire Science Technology,3,Theory,0
FIL251,Film,3,Theory,0
FIN741,BAS Bus Organizational Leaders,3,Theory,0
FIN118,Finance,1,Lab,0
FOS519,"Hos/Tour,Bak/Pstry,Cul/Rest Mg",3,Theory,0
FRE252,French,3,Theory,0
FSS291,"Hos/Tour,Bak/Pstry,Cul/Rest Mg",3,Theory,0
GEA683,Geography,3,Theory,0
GEB525,BAS Bus Organizational Leaders,3,Theory,0
GEB890,Business Admin & Management,1,Lab,0
GER898,German,3,Theory,0
GLY671,Geology,1,Lab,0
GRA424,Graphics Technology,1,Lab,0
HFT972,"Hos/Tour,Bak/Pstry,Cul/Rest Mg",3,Theory,0
